skill,param,class,value
Q_0_S_0,prior,default,0.0923023466429663
Q_0_S_0,learns,default,0.005088249559889927
Q_0_S_0,guesses,default,0.0
Q_0_S_0,slips,default,1.0
Q_0_S_0,forgets,default,0.9253817227412595
Q_1_S_0,prior,default,0.05119091382660036
Q_1_S_0,learns,default,0.04018632673906568
Q_1_S_0,guesses,default,0.0
Q_1_S_0,slips,default,1.0
Q_1_S_0,forgets,default,0.9960692185023743
Q_2_S_0,prior,default,0.24757171186272742
Q_2_S_0,learns,default,0.0017849743443583226
Q_2_S_0,guesses,default,0.0
Q_2_S_0,slips,default,1.0
Q_2_S_0,forgets,default,0.9899683681484096
Q_3_S_0,prior,default,0.2938281747461471
Q_3_S_0,learns,default,0.0005335550056273614
Q_3_S_0,guesses,default,0.0
Q_3_S_0,slips,default,1.0
Q_3_S_0,forgets,default,0.9463258210991476
Q_4_S_0,prior,default,0.04101911843587408
Q_4_S_0,learns,default,0.04746820114380243
Q_4_S_0,guesses,default,0.0
Q_4_S_0,slips,default,1.0
Q_4_S_0,forgets,default,0.68258301394209
Q_5_S_0,prior,default,0.7391843855516449
Q_5_S_0,learns,default,0.787936868621714
Q_5_S_0,guesses,default,1.0
Q_5_S_0,slips,default,0.0
Q_5_S_0,forgets,default,0.029142160665809234
Q_6_S_0,prior,default,0.992920058686927
Q_6_S_0,learns,default,0.009848245783823128
Q_6_S_0,guesses,default,0.0023763685561286863
Q_6_S_0,slips,default,0.027205940977883078
Q_6_S_0,forgets,default,0.9919085398619782
Q_7_S_0,prior,default,0.005415092785371225
Q_7_S_0,learns,default,0.023837515697929905
Q_7_S_0,guesses,default,0.0
Q_7_S_0,slips,default,1.0
Q_7_S_0,forgets,default,0.22559058767393927
Q_0_S_1,prior,default,0.21825406856016366
Q_0_S_1,learns,default,0.09396295632707345
Q_0_S_1,guesses,default,0.0
Q_0_S_1,slips,default,1.0
Q_0_S_1,forgets,default,0.9779389848033699
Q_1_S_1,prior,default,0.8698257569180351
Q_1_S_1,learns,default,0.5895470470119359
Q_1_S_1,guesses,default,1.0
Q_1_S_1,slips,default,0.0
Q_1_S_1,forgets,default,0.5804888021690511
Q_2_S_1,prior,default,0.004390262769698392
Q_2_S_1,learns,default,0.4521320223078763
Q_2_S_1,guesses,default,0.05979257113253417
Q_2_S_1,slips,default,0.30112966967548294
Q_2_S_1,forgets,default,0.7152758866385821
Q_3_S_1,prior,default,0.8716276599177877
Q_3_S_1,learns,default,0.6947941974702309
Q_3_S_1,guesses,default,1.0
Q_3_S_1,slips,default,0.0
Q_3_S_1,forgets,default,0.062249744835997
Q_4_S_1,prior,default,0.9939090188453387
Q_4_S_1,learns,default,0.7774239339043392
Q_4_S_1,guesses,default,0.2135437936070991
Q_4_S_1,slips,default,0.004558525045623972
Q_4_S_1,forgets,default,0.5365960683438289
Q_5_S_1,prior,default,0.001743329518650894
Q_5_S_1,learns,default,0.9834534498585821
Q_5_S_1,guesses,default,0.02068345798367169
Q_5_S_1,slips,default,0.0005848803976873921
Q_5_S_1,forgets,default,0.0021456042519559064
Q_6_S_1,prior,default,0.17934120627033426
Q_6_S_1,learns,default,0.6147802088033798
Q_6_S_1,guesses,default,1.0
Q_6_S_1,slips,default,0.0
Q_6_S_1,forgets,default,0.770097813123112
Q_7_S_1,prior,default,0.6230652444898201
Q_7_S_1,learns,default,0.7755629352885867
Q_7_S_1,guesses,default,1.0
Q_7_S_1,slips,default,0.0
Q_7_S_1,forgets,default,0.023401450102666328
Q_0_S_10,prior,default,0.012040313460666719
Q_0_S_10,learns,default,0.001863844756286019
Q_0_S_10,guesses,default,0.0
Q_0_S_10,slips,default,1.0
Q_0_S_10,forgets,default,0.9720655547354813
Q_1_S_10,prior,default,0.0016702368648729934
Q_1_S_10,learns,default,0.013633408013849014
Q_1_S_10,guesses,default,0.0
Q_1_S_10,slips,default,1.0
Q_1_S_10,forgets,default,0.20729048363578362
Q_2_S_10,prior,default,0.07312084997520171
Q_2_S_10,learns,default,0.040110976797430635
Q_2_S_10,guesses,default,0.0
Q_2_S_10,slips,default,1.0
Q_2_S_10,forgets,default,0.7656609216696467
Q_3_S_10,prior,default,0.0007067668302906067
Q_3_S_10,learns,default,0.3052127590305142
Q_3_S_10,guesses,default,0.07625298186088374
Q_3_S_10,slips,default,0.2426715416870361
Q_3_S_10,forgets,default,0.2744710440300938
Q_4_S_10,prior,default,0.00016538589166700178
Q_4_S_10,learns,default,0.3619316072012331
Q_4_S_10,guesses,default,0.07386495751738294
Q_4_S_10,slips,default,0.07823682037030767
Q_4_S_10,forgets,default,0.9562169013152862
Q_5_S_10,prior,default,0.9749291686315531
Q_5_S_10,learns,default,0.8486776967226826
Q_5_S_10,guesses,default,1.0
Q_5_S_10,slips,default,0.0
Q_5_S_10,forgets,default,0.05344172650478449
Q_6_S_10,prior,default,0.1145234636076804
Q_6_S_10,learns,default,0.01898296968084676
Q_6_S_10,guesses,default,0.0
Q_6_S_10,slips,default,1.0
Q_6_S_10,forgets,default,0.9557746307947249
Q_7_S_10,prior,default,0.8974100513800887
Q_7_S_10,learns,default,0.6356276769792825
Q_7_S_10,guesses,default,0.47619811126185396
Q_7_S_10,slips,default,0.023420984538885675
Q_7_S_10,forgets,default,0.7463798787195909
Q_0_S_100,prior,default,0.9621462293873968
Q_0_S_100,learns,default,0.0013375861017268119
Q_0_S_100,guesses,default,0.012491119724430623
Q_0_S_100,slips,default,0.0076316379897770365
Q_0_S_100,forgets,default,0.9951646554970195
Q_1_S_100,prior,default,0.9686347347867846
Q_1_S_100,learns,default,0.006527031594420591
Q_1_S_100,guesses,default,0.010487604882906645
Q_1_S_100,slips,default,0.04029189667706766
Q_1_S_100,forgets,default,0.9724368316173431
Q_2_S_100,prior,default,0.9515275046108684
Q_2_S_100,learns,default,0.01298245785038389
Q_2_S_100,guesses,default,0.016135839236521083
Q_2_S_100,slips,default,0.044625281033146676
Q_2_S_100,forgets,default,0.9814230747501395
Q_3_S_100,prior,default,0.9896210531044876
Q_3_S_100,learns,default,0.4387732825300021
