skill,param,class,value
Q_0_S_0,prior,default,0.0923023466429663
Q_0_S_0,learns,default,0.005088249559889927
Q_0_S_0,guesses,default,0.0
Q_0_S_0,slips,default,1.0
Q_0_S_0,forgets,default,0.9253817227412595
Q_1_S_0,prior,default,0.4403061353593931
Q_1_S_0,learns,default,0.011267668207242412
Q_1_S_0,guesses,default,0.0
Q_1_S_0,slips,default,1.0
Q_1_S_0,forgets,default,0.9313349633648988
Q_2_S_0,prior,default,0.05126434178643921
Q_2_S_0,learns,default,0.13075960454832392
Q_2_S_0,guesses,default,0.0
Q_2_S_0,slips,default,1.0
Q_2_S_0,forgets,default,0.9156843184537066
Q_3_S_0,prior,default,0.14731155814509234
Q_3_S_0,learns,default,0.06993601131255714
Q_3_S_0,guesses,default,0.0
Q_3_S_0,slips,default,1.0
Q_3_S_0,forgets,default,0.8255341905469904
Q_4_S_0,prior,default,0.6625408341986566
Q_4_S_0,learns,default,0.08914388054176939
Q_4_S_0,guesses,default,0.0
Q_4_S_0,slips,default,1.0
Q_4_S_0,forgets,default,0.6073933456460376
Q_5_S_0,prior,default,0.9166340247893289
Q_5_S_0,learns,default,0.8762986221795773
Q_5_S_0,guesses,default,1.0
Q_5_S_0,slips,default,0.0
Q_5_S_0,forgets,default,0.0026437257495832323
Q_6_S_0,prior,default,0.07050156091647881
Q_6_S_0,learns,default,0.013407901835660548
Q_6_S_0,guesses,default,0.3223737861655976
Q_6_S_0,slips,default,0.39590400007043425
Q_6_S_0,forgets,default,0.7873943065272829
Q_7_S_0,prior,default,0.09452297001000151
Q_7_S_0,learns,default,0.014548915346748214
Q_7_S_0,guesses,default,0.0
Q_7_S_0,slips,default,1.0
Q_7_S_0,forgets,default,0.8285647959892619
Q_0_S_1,prior,default,0.33203925851763094
Q_0_S_1,learns,default,0.024120839783258855
Q_0_S_1,guesses,default,0.0
Q_0_S_1,slips,default,1.0
Q_0_S_1,forgets,default,0.897697428871163
Q_1_S_1,prior,default,0.11704110102535481
Q_1_S_1,learns,default,0.7024886742523544
Q_1_S_1,guesses,default,1.0
Q_1_S_1,slips,default,0.0
Q_1_S_1,forgets,default,0.7740092948769229
Q_2_S_1,prior,default,0.02228119408137729
Q_2_S_1,learns,default,0.34624704926658095
Q_2_S_1,guesses,default,0.22025559067113892
Q_2_S_1,slips,default,0.20567884739252018
Q_2_S_1,forgets,default,0.9056374553820672
Q_3_S_1,prior,default,0.9628316458427966
Q_3_S_1,learns,default,0.533952181552575
Q_3_S_1,guesses,default,1.0
Q_3_S_1,slips,default,0.0
Q_3_S_1,forgets,default,0.006162400733751443
Q_4_S_1,prior,default,0.9985009653025959
Q_4_S_1,learns,default,0.7459458304654975
Q_4_S_1,guesses,default,0.2568070426522439
Q_4_S_1,slips,default,0.040124323155414976
Q_4_S_1,forgets,default,0.4743332230629921
Q_5_S_1,prior,default,0.06302216139669951
Q_5_S_1,learns,default,0.9843737241883843
Q_5_S_1,guesses,default,0.024584078808662035
Q_5_S_1,slips,default,0.020735019764003246
Q_5_S_1,forgets,default,0.004243917775361283
Q_6_S_1,prior,default,0.08586025183754915
Q_6_S_1,learns,default,0.47668469358980037
Q_6_S_1,guesses,default,1.0
Q_6_S_1,slips,default,0.0
Q_6_S_1,forgets,default,0.1995295672090296
Q_7_S_1,prior,default,0.9846415137108957
Q_7_S_1,learns,default,0.5861776382997698
Q_7_S_1,guesses,default,1.0
Q_7_S_1,slips,default,0.0
Q_7_S_1,forgets,default,0.2437250192450274
Q_0_S_10,prior,default,0.11640656514194041
Q_0_S_10,learns,default,0.14638564560450032
Q_0_S_10,guesses,default,0.0
Q_0_S_10,slips,default,1.0
Q_0_S_10,forgets,default,0.8598710902858305
Q_1_S_10,prior,default,0.0029075021725020063
Q_1_S_10,learns,default,0.0009786880860637786
Q_1_S_10,guesses,default,0.0
Q_1_S_10,slips,default,1.0
Q_1_S_10,forgets,default,0.9941833673618283
Q_2_S_10,prior,default,6.300433135431604e-05
Q_2_S_10,learns,default,0.0037159492531834383
Q_2_S_10,guesses,default,0.0
Q_2_S_10,slips,default,1.0
Q_2_S_10,forgets,default,0.8616193164977263
Q_3_S_10,prior,default,0.06887585817302824
Q_3_S_10,learns,default,0.24709008320604672
Q_3_S_10,guesses,default,0.14320544994058626
Q_3_S_10,slips,default,0.33747247787927276
Q_3_S_10,forgets,default,0.7081582163712523
Q_4_S_10,prior,default,0.767307710836826
Q_4_S_10,learns,default,0.4410760508899152
Q_4_S_10,guesses,default,0.38693684999964456
Q_4_S_10,slips,default,0.7236794891214579
Q_4_S_10,forgets,default,0.7449312601096789
Q_5_S_10,prior,default,0.9238629224720858
Q_5_S_10,learns,default,0.46705441584524104
Q_5_S_10,guesses,default,1.0
Q_5_S_10,slips,default,0.0
Q_5_S_10,forgets,default,0.4028259611959713
Q_6_S_10,prior,default,0.030877224689196528
Q_6_S_10,learns,default,0.0026485564697726702
Q_6_S_10,guesses,default,0.0
Q_6_S_10,slips,default,1.0
Q_6_S_10,forgets,default,0.9185090771482332
Q_7_S_10,prior,default,0.7187676700787103
Q_7_S_10,learns,default,0.5496614365008057
Q_7_S_10,guesses,default,0.4223122109237284
Q_7_S_10,slips,default,0.1068204428592892
Q_7_S_10,forgets,default,0.7455179039521009
Q_0_S_100,prior,default,0.41448826418770535
Q_0_S_100,learns,default,0.005396153641684508
Q_0_S_100,guesses,default,0.16396937925328894
Q_0_S_100,slips,default,0.03414156388560652
Q_0_S_100,forgets,default,0.998230536952524
Q_1_S_100,prior,default,0.06753254684596807
Q_1_S_100,learns,default,1.0
Q_1_S_100,guesses,default,0.0
Q_1_S_100,slips,default,1.0
Q_1_S_100,forgets,default,0.0
Q_2_S_100,prior,default,0.4785040880993263
Q_2_S_100,learns,default,0.01865266873935798
Q_2_S_100,guesses,default,0.21467985129740075
Q_2_S_100,slips,default,0.1617256937290702
Q_2_S_100,forgets,default,0.8802436216330294
Q_3_S_100,prior,default,0.9638439737855498
Q_3_S_100,learns,default,0.8093955973471749
Q_3_S_100,guesses,default,1.0
Q_3_S_100,slips,default,0.0
